Scroll to bottom to see averages.
<Process #, arrival_time, requested_service_time>
<912, 450.738, 1.6038>
<913, 450.789, 0.573026>
<914, 450.843, 0.801374>
<915, 451.046, 0.0897624>
<916, 451.092, 0.447892>
<917, 451.128, 1.08546>
<918, 451.135, 0.355355>
<919, 451.631, 0.861353>
<920, 451.873, 1.94583>
<921, 451.895, 0.903615>
<922, 452.233, 1.18084>
<923, 452.513, 0.581981>
<924, 452.541, 1.01475>
<925, 453.684, 0.0439344>
<926, 453.909, 2.0414>
<927, 454.868, 2.6171>
<928, 455.42, 3.01329>
<929, 455.646, 1.47261>
<930, 455.995, 1.19251>
<931, 456.966, 0.892973>
<932, 456.995, 2.607>
<933, 457.141, 0.0742327>
<934, 457.269, 2.13664>
<935, 457.792, 0.937827>
<936, 458.464, 1.17793>
<937, 458.577, 0.262115>
<938, 458.821, 0.999482>
<939, 459.378, 0.58139>
<940, 459.535, 0.84425>
<941, 459.865, 0.999291>
<942, 460.155, 0.410549>
<943, 460.565, 0.115744>
<944, 460.734, 2.55123>
<945, 461.794, 1.55942>
<946, 462.276, 1.33368>
<947, 462.515, 1.12739>
<948, 463.059, 1.00273>
<949, 463.747, 2.18979>
<950, 464.109, 0.50521>
<951, 464.452, 0.293236>
<952, 464.499, 1.20398>
<953, 464.83, 0.642011>
<954, 465.032, 0.170217>
<955, 466.262, 0.919717>
<956, 466.911, 0.508343>
<957, 467.044, 0.182616>
<958, 467.708, 1.57057>
<959, 467.87, 0.0230709>
<960, 468.496, 0.169815>
<961, 469.333, 0.404429>
<962, 470.449, 0.214252>
<963, 470.453, 0.810612>
<964, 471.328, 1.41236>
<965, 471.621, 0.417111>
<966, 471.704, 2.81436>
<967, 472.156, 0.276753>
<968, 472.667, 0.083313>
<969, 473.295, 3.57527>
<970, 473.43, 0.994713>
<971, 473.856, 3.29938>
<972, 473.871, 1.64293>
<973, 473.94, 1.4435>
<974, 474.397, 0.521238>
<975, 475.169, 0.375055>
<976, 475.582, 0.914436>
<977, 476.101, 0.607095>
<978, 476.886, 1.06177>
<979, 476.892, 0.962576>
<980, 477.156, 0.605058>
<981, 478.755, 0.829291>
<982, 479.005, 0.808222>
<983, 479.824, 0.0346676>
<984, 480.326, 0.735896>
<985, 480.33, 2.04595>
<986, 480.411, 0.866134>
<987, 481.309, 0.198174>
<988, 481.553, 3.31987>
<989, 482.991, 4.1783>
<990, 483.222, 1.31075>
<991, 483.399, 2.69491>
<992, 483.599, 2.86147>
<993, 483.844, 0.129827>
<994, 484.298, 0.507502>
<995, 484.971, 0.00758814>
<996, 485.926, 1.20061>
<997, 486.35, 0.282328>
<998, 486.496, 0.472567>
<999, 486.66, 2.18592>
<1000, 487.799, 0.33703>
Arrival Rate Avg: 1 process every 0.487799 seconds.
Service Rate Avg: 1 process every 1.01943 seconds
